id,name,lat,lng,separated_map,num_map
AR-01,ステージ,35.6673204,139.7904736,FALSE,
AR-02,メインロード,35.66718218,139.7915601,FALSE,
AR-03,明治丸前広場,35.6675603,139.7907203,FALSE,
AR-04,正門,35.6686220,139.7906191,FALSE,
AR-05,1号館,35.66821282,139.7911122,TRUE,2
AR-06,2号館,35.6670340,139.7926167,TRUE,2
AR-07,越中島会館(講堂),35.6665416,139.7929962,TRUE,2
AR-08,本部,35.66742024,139.7911257,FALSE,
AR-09,休憩所(ワールドマリンカフェ),35.6661886,139.7931866,FALSE,
AR-10,体育館,35.6679591,139.7930163,FALSE,
AR-12,第4実験棟(大教室),35.66636313,139.7923586,TRUE,2
AR-13,ポンド(試乗会受付),35.6661613,139.7919166,FALSE,
AR-14,避難場所(第2グラウンド),35.6656558,139.7936171,FALSE,
AR-15,,,,FALSE,
AR-16,,,,FALSE,
AR-17,,,,FALSE,
AR-18,,,,FALSE,
AR-19,,,,FALSE,
AR-20,,,,FALSE,
AR-21,,,,FALSE,
AR-22,,,,FALSE,
AR-23,,,,FALSE,
AR-24,,,,FALSE,
AR-25,,,,FALSE,
AR-26,,,,FALSE,
AR-27,,,,FALSE,
AR-28,,,,FALSE,
AR-29,,,,FALSE,
